,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,"['', 'You will be responsible for ensuring high quality implementation and testing of all releases from inception through to live deployment.', '']","['', 'Full time: Monday – Friday, 8.30am – 5.30pm (with one hour for lunch).', 'Drawing upon your expertise and working closely with the Lead Quality Assurer, you will…', '']","['', ""; there's a remote interview process and the ability to work from home the majority of the time."", 'Would you like to work on an award winning tech for good…', '']","['', 'Manual QA Tester - Contract - Outside of IR-35 - Fully Remote.', 'I have partnered with a Start-up in the Blockchain/Crypto space who are on the lookout for a a…', '']","['', 'Our experience and expertise reside across Business and Technology Transformation, Cyber Security, RPA and AML Compliance.', 'Work with testing management tools.', '']","['', 'Through analytical data management and product insight, you will be the champion for product quality and associated activities that support a business quality…', '']","['', 'This role will be working for a midsize QARA consultancy that specialises in managing process across the full product lifecycle.', '']","['', 'This post is for the role of IQA in Commis Chef and Production Chef, Level 2 Apprenticeships Standards .', 'An IQA award is essential and a TAQA update desirable.', '']","['', 'Job type: Permanent - Full-time.', 'Helping NHS organisations on their journey to become workforce exemplars.', 'We provide actionable insights through expert support…', '']","['', 'QA Test Engineer / Tester (Manual / Automation Testing JavaScript) *Remote UK / WFH*.', ""You'll write test cases and plan and write automated tests to test product…"", '']","['', 'Due to business growth my client is looking for a fully remote Automation Tester to join their talented in-house software development team.', '']","['', 'Reporting to the LumiraDx Development Quality Engineer Manager, the successful candidate shall be responsible for the quality and regulatory activities…', '']","['', 'Location – Fully remote or London*.', 'The role’s responsibilities will include the creation of high-level test cases, automation scripts and plans in agreement…', '']","['', 'A typical day could have you writing and executing test scripts, designing and executing Test Cases/Scenarios and reporting against the functional requirements.', '']","['', 'The QA Analyst will work closely with Product Owners, Developers and Key Project Stakeholders, whilst being responsible for all aspects of testing, primarily…', '']"
1,"['', 'This role will involve functionally QA testing networking deployment software, on a continuous basis and working closely with the wider team.', '']","['', 'The QA Analyst will work closely with Product Owners, Developers and Key Project Stakeholders, whilst being responsible for all aspects of testing, primarily…', '']","['', 'A typical day could have you writing and executing test scripts, designing and executing Test Cases/Scenarios and reporting against the functional requirements.', '']","['', 'Due to business growth my client is looking for a fully remote QA to join their talented in-house software development team.', 'Execute all levels of testing.', '']","['', 'Your role: Test Automation Engineer.', 'You will help define, implement and continuously improve a testing strategy, aiming to automate as much as possible.', '']","['', ""The Freelance Internal Quality Assurer is required to monitor the quality assurance of assessment processes and practices in line with the center's Quality…"", '']","['', 'This combination allows us to provide actionable, objective, granular and accurate data, both at speed and scale.', 'O Liaising with QA reviewers & internal staff.', '']","['', 'The Company operates in the Financial, Government and Defence markets and provides mission-critical products that operate on HPE NonStop™ servers, payment &…', '']","['', 'Come in, establish the frameworks, show us the best practices and collaborate to embed those practices within the.', 'The features delivered within our products.', '']","['', 'To provide overall leadership to the quality, curriculum and MIS function for the LMP Group.', 'Direct management of the quality and compliance teams ensuring good…', '']","['', 'Product Quality, Regulations & Compliance Co-ordinator - Sophie Allport, Bourne*.', 'We are looking for a full time *Product Quality, Regulations and Compliance Co…', '']","['', 'Plans and conducts assigned audits.', 'Performs For Cause audits as needed.', 'Writes and issues audit reports, ensuring clear communication of audit findings to the…', '']","['', 'Our ideal candidate will be responsible for conducting Product Acceptance Testing for all the products built by our software development teams.', '']","['', 'Also experience of GitHub and Selenium WebDriver.', 'The Test Automation Engineer will have to had experience in performing manual functional and performance…', '']","['', 'CHL are a provider of buy to Let mortgages with a well-earned reputation for providing our customers with competitive mortgage products matching their needs.', '']"
2,"['', 'Flexible working, Full-time, Job share, Part-time.', 'Within Strategic Command and Defence Support HLB, “WATERGUARD is a diverse programme that operates within a…', '']","['', 'Besides technical expertise in QA technologies, you will also need to be proficient in English with an ability to collaborate with English speaking teams.', '']","['', 'You will manage a team of 16+ remote QA engineers for both manual testing (8 engineers) and automatic regression (8 engineers).', '24 days of flex PTO per year.', '']","['', 'Minimum 6 months of experience within a testing/problem solving environment.', 'SKILLS REQUIRED: • Successful applicants will need excellent communication skills…', '']","['', 'Hours: 18 hours per week.', 'Our newly formed Customer Contact Centre will therefore use industry leading systems to deliver excellent customer service and ensure…', '']","['', 'Interim Data Quality Engineer/Specialist -Remote Working - PSR 1JP00047896 Pay Rate: Up to £600 per day pay range subject to IR35 status This role is currently…', '']","['', 'QA Lead, Automated and Manual knowledge and team leading experience required, Basingstoke, Hampshire (although you can work from home much of the time).', '']","['', ""Has 'Automate first' mindset - is meticulous to detail in defining Acceptance Tests."", 'Technical background in Automation Frameworks (e.g Testcafe).', '']","['', 'We are looking for a Quality Management Specialist to carry out and adopt the global Quality Plan for our US and Canadian Real World Evidence Delivery Teams in…', '']","['', 'Work with the Quality Hub Lead to build a suite of engaging, accurate, regular reports that are used with suppliers and internal stakeholders to provide insight…', '']","['', 'In line with our ongoing commitment to continuously improve the care we provide and the experience of people who use our services we have introduced a new…', '']","['', 'The main purpose of the Test Manager will be to test Governance and Standards to define and establish the project/programmes test strategy and policies.', '']","['', 'A calendar of ‘remote friendly’ events each week including Bingo, Comedy Nights, Escape Room challenges….', 'Redesigned the whole business loan process from start…', '']","['', '£45,000 - £50,000 plus generous benefits, flexible remote working and investment in tools, tech and training to help you progress and develop your own…', '']","['', 'The role of a Quality Engineer (QE) is to create automated and manual test scripts, execute them and report defects, providing key expertise to the agile…', '']"
3,"['', 'Participating in daily meetings with Agile team/ Squad.', 'Becoming familiar with Tyk eco system and environments.', 'Understanding of CI/CD processes and tools.', '']","['', 'As Quality & Compliance Manager / Quality Assurance Manager / QA Manager you will provide hands on support to Home Managers to ensure CQC compliance across all…', '']","['', 'QA Test Automation Engineer / Developer in Test (Python Java API) *Hybrid WfH*.', 'Would you like to work for a technology driven company that respects the role of…', '']","['', 'To check quality standards in calls, emails and CRM systems as required, ensuring compliance with regulatory and client requirements.', '']","['', 'Tagshaw consulting ltd is looking for a ""Validation, Risk and Compliance consultant"" - ideally from a QA background with a good understanding of the IT systems…', '']","['', 'Their UK office is based in Milton Keynes and the work from home expectation is flexible to suit you.', 'Good Automation experience (Selenium web driver).', '']","['', 'Our talented workforce includes some of the UK’s premier testing thought leaders and experts, who help deliver exceptional services to our clients in the…', '']","['', 'We are actively seeking a *Lead QA Engineer* to take full responsibility for all testing activities for our business, to support or Product and Delivery teams,…', '']","['', '29.6 hours per week over 4 days*.', 'Salary: Up to £33,000 plus £2,600 car allowance pro rata per annum*.', 'The purpose of this role is to ensure quality assurance…', '']","['', 'D365 CRM QA Tester - 6 months - Remote - Outside IR35*.', 'Define testing framework and strategy which is aligned to agile delivery.', '']","['', 'The role of the RGEA team is to ensure that clinical research involving human participants in the University is compliant with the applicable governance and/or…', '']","['', 'The candidate will fulfill the QA Technology Test Lead/ coordinator role for EQ by Equiniti applications on medium to large and/or complex projects.', '']","['', 'This role is responsible to undertake the audit and inspection of train car bodies, in-line with defined standards, whilst ensuring audit and inspection…', '']","['', 'Tagshaw consulting ltd is looking for a IT specialist with hands on experience in Compliance and regulatory projects - ideally from a QA background with a good…', '']","['', 'As a Systems Tester you’ll be part of the Quality Assurance team and your primary purpose will be to test technical solutions to support business processes and…', '']"
4,"['', 'As a Systems Tester you’ll be part of the Quality Assurance team and your primary purpose will be to test technical solutions to support business processes and…', '']","['', 'QA Test Automation Engineer (Java Kotlin Postman API Wireshark) *Hybrid WfH*.', 'As a QA Test Automation Engineer you will develop automated test cases and test…', '']","['', 'QA Analyst | Remote UK | Manual, Automation, Selenium, API.', 'SRG Europe is working with an exciting product and services company in the UK to find a QA Analyst.', '']","['', 'Job Type: Full-time, Perm.', 'You will play a critical role leading the QA process and training co-workers, building out our automated testing strategy and…', '']","['', 'Engineering Inspector (Pressure systems) – Home Based with UK Travel.', 'Ensuring that Calor’s vessel and cylinder inspection and maintenance is carried out in…', '']","['', 'An established financial services establishment in Central Derby are going through a large transformation around their applications are looking to grow the…', '']","['', 'Arup is increasingly using cloud and data platforms to deliver client projects and major internal investment programmes.', '']","['', ""As a Lead QA (Automation) in our Systems Team you'll work closely with teams across engineering to ensure the delivery of scalable, well structured, efficient…"", '']","['', 'We are looking for a seasoned supplier quality professional with extensive experience in developing and driving an effective supplier management and development…', '']","['', 'That being the case, you should be technically minded, have a deep understanding of how software works and can talk confidently to engineers about it.', '']","['', 'We’re searching for a *Market Quality Manager* who will proactively support the European Quality Director in the delivery of exemplary quality and technical…', '']","['', 'Ensure our design partners are planning to specification and own in build.', 'Gate keeper for the designs before they are issued to our build partner.', '']","['', 'Our talented workforce includes some of the UK’s premier testing thought leaders and experts, who help deliver exceptional services to our clients in the…', '']","['', 'We are seeking a talented Sr. QA Test Automation Engineer (SDET) to write, execute, and evaluate integration tests and system tests using industry-standard…', '']","['', 'We are looking for a hands-on and proactive product focussed quality engineer who will be involved in the product lifecycle from cradle to grave.', '']"
5,"['', '£25-30,000 PLUS CAR ALLOWANCE*.', 'As a Graduate Quality Assurance Specialist, you will monitor QMS procedures, challenge inefficiencies and initiate changes to…', '']","['', 'We are looking for a candidate to support the operational and QC functions of the business.', 'To act as a guardian for company procedures and policies, assisting…', '']","['', 'The QA/RA Manager is responsible for developing, revising, and managing the Quality Management System (QMS) and supporting the regulatory obligations of the…', '']","['', ""There's a remote interview and onboarding process as well as the ability to work from home the majority of the time with only occasional visits (around six days…"", '']","['', 'The Test Analyst role offers 2 days working from home remote and 3 days intheir New Forest based Offices.', 'The Test Analyst will work in a team responsible for…', '']","['', 'Contribute to the planning, design and implementation of testing frameworks.', 'Scripting automated tests and working collaboratively with other engineers in a…', '']","['', ""This is primarily a remote opportunity, but the candidate must be within a commutable distance to one of Alertacall's office locations*, as occasional on-site…"", '']","['', 'This role is responsible for account activations and various other requests.', 'Acting as the primary internal customer contact, communicating directly or through…', '']","['', 'The role provides the successful candidate with the opportunity to support the delivery of apprenticeship and qualification courses, with a focus on quality,…', '']","['', 'Innovation, quality and customer orientation are our drivers.', 'All our production is led in-house, using the latest technologies and applying the Scrum framework…', '']","['', 'With some travel for meetings and events across south west region.', 'Hours : *Part time 25 hours per week.', 'Salary: *£26,869 per annum for working full time, pro…', '']","['', 'This is a work from home/remote role.', 'The ideal candidate will be someone who is capable of operating in all areas of the quality assurance discipline including…', '']","['', 'You will be experienced within the world of financial crime as well as being an accomplished QA or SME.', 'You will need to be confident engaging with a range of…', '']","['', 'Ability to design and implement test & acceptance criteria and frameworks.', 'Experience in behaviour-driven development.', 'Experience with CI/CD tests.', '']","['', 'You will be testing a number of complex front and backend systems, providing a key QA/test strategy which will involve Manual and Automation testing.', '']"
6,"['', 'As a QA Engineer, you will take responsibility for executing tests, recording results and collating test output to provide evidence to enable tests to be…', '']","['', 'This post is pivotal as part of the Governance team to support oversight of all aspects of quality improvement and governance, supporting the Strategic Lead for…', '']","['', 'This combination allows us to provide actionable, objective, granular and accurate data, both at speed and scale.', '']","['', 'The Quality Specialist is responsible for the quality assurance of apprenticeship programmes and plays a pivotal role in supporting coaches with their learners.', '']","['', 'The Quality Assurance (QA) Department at Envika Consultancy Ltd is responsible for monitoring and testing the quality, consistency, and reliability of…', '']","['', 'The candidate will have 6 months to 1 year+ experience with C# and have experience with HTML 5 and JavaScript.', 'Develop reliable automated test cases.', '']","['', 'Flexible and supportive working ethos.', 'Benefits including Private Medical Insurance, Company Pension, 25 days annual leave plus UK Bank Holidays, enhanced…', '']","['', 'Produce sampling and activity plans covering RHG’s learning programmes.', 'Sample learners’ work and provide feedback to learning coaches on RHG’s LMS.', '']","['', 'Our Test Analysts closely with Developers, Business Analysts and other testers to produce award winning software tailored to meet client needs.', '']","['', 'Home based – covering South West England or South Wales*.', 'Half day EQA activity £150*.', 'Full day EQA activity £200*.', '']","['', 'Javascript, Typescript, Ruby on Rails, Cypress, End-to-end testing tools, SQL (PostgreSQL), Docker, Codeship CI.', 'JavaScript would be a plus.', '']","['', 'This role will provide support, guidance, trended data and technical expertise ensuring the site remains focused on all aspects of quality assurance.', '']","['', 'As a Senior Engineer within our client’s Delivery Squads you will be responsible for all aspects of the software development life-cycle; from requirement…', '']","['', '22 days annual leave (plus bank holidays) increasing by 1 day each year up to an additional 5 days of leave.', 'LRG Extras - Staff discounts with many retailers.', '']","['', '2+ years of professional QA experience;', 'Experience in web-applications testing and automated testing;', 'Ability to effectively write test documentation (reports,…', '']"
7,"['', '2+ years of professional QA experience;', 'Experience in web-applications testing and automated testing;', 'Ability to effectively write test documentation (reports,…', '']","['', 'Aubay is seeking a mid-level QA developer to ramp up QA within an established development team.', 'Tech Stack You Will Be Working with *– *JS*, *NodeJS* backend + …', '']","['', 'We work in an Agile process as part of a cross-functional team consisting of front and backend specialists, QAs, technical leads, project managers and customer…', '']","['', 'UAT Test Manager - Current SC Clearance required.', '£600 - £675 per day + inside IR35, negotiable.', 'UAT Test Manager - Contract - Central Government.', '']","['', ""As a Software Tester you will be an integral part of a project focussed Agile software development team working on a new feature or enhancement, you'll take…"", '']","['', 'The main purpose of the role is to Quality monitor and check the completion of all End Point Assessments undertaken by Independent Assessors to ensure timely…', '']","['', 'Delight our customers by driving delivery teams to achieve the highest quality standards within our product range.', 'We want to hear from you if*.', '']","['', 'Our award-winning AI client in Reading is currently looking for a Senior Automation Tester to join them on a permanent basis.', '']","['', 'Our on- and off-ramp suite of products provides a seamless experience for converting between fiat and crypto using all major payment methods in over 160…', '']","['', 'You will be working as the Lead Software Test Engineer on a brand-new Class C Medical Device development.', 'In this role you will have Embedded Software Testers…', '']","['', 'Our client, a leading UK e-commerce/retail brand urgently requires a QA Automation Engineer on an initial 3-month basis (with a view to extend) in their effort…', '']","['', 'If needed, we can help you with relocation process.', '']","['', 'You will be critical to the maintenance, improvement, and development of the organisations existing testing capabilities, suggesting and implementing best…', '']","['', 'Oversees the conduct of audits and conducts audits in accordance with QA SOPs and WIs.', 'Responsible for generating own and reviewing others’ audit reports.', '']","['', '£580 - £680 per day + Outside IR35.', 'Azure Automation QA Technical Lead.', '+ 6 month initial contract.', '+ £580 - £680 per day.', '']"
8,"['', 'The role provides the unique opportunity to take ownership of our clients Test Framework whilst integrating it with other business functions.', '']","['', 'You will be joining a key project developing the product roadmap that will shape the future of IRIS products and will gain exposure to many new and exciting…', '']","['', 'There is a remote interview / onboarding process with flexibility to work from home 2-3 days a week going forward; they have invested in a refurb of the City…', '']","['', 'Provide leadership and support to a team of Software Testers such that they can execute the tests to the test plan requirements.', '']","['', 'QA Analyst, Tester – £250 per day – 6 month contract – Fully remote.', 'QA Analyst, Tester – £250 per day – 6 Months Contract – Fully Remote.', '']","['', 'We see a huge amount of value in people and, with that being the case, have designed a full 6-month internal graduate scheme designed to build up the required…', '']","['', 'Codestone seeks a high-calibre individual to undertake QA and testing of its SAP Business One and Business ByDesign based solutions created for its customers.', '']","['', 'Due to continued expansion across the Group, we are looking for a Risk & Compliance Monitoring Analyst to support in delivering the team objectives of providing…', '']","['', 'Empowered and Deliberate – Employees are encouraged to take action and ensure timely delivery of expectations.', 'Expert skills in Minitab is required.', '']","['', 'You will also ensure the integrity of releases from development, into test and ultimately live for both web and mobile applications.', '']","['', 'Provides consultancy and oversight for project-specific Quality Issues (QIs) and Corrective and Preventive Action (CAPA) Plans.', '']","['', 'Programme QA Manager - (Part-Time, Job-Share and Full-Time).', 'In this role, you will join our team who have recently won the ‘Testing Management Team of the Year…', '']","['', 'Quality Assurance management experience across a variety of different projects.', 'Be a strong leader with experience in best practice Quality Assurance strategies…', '']","['', 'Great exposure to work directly with clients on a regular basis.', 'A stack full of pizza ;).', 'Understand and implement instructions and directions from others.', '']","['', 'Position Title: Virtual School PEP Quality Assurance Teacher and lead for Previously looked after.', 'Salary: Grade 8 £34,728 to £38,890 (Bar at £37,890) per annum…', '']"
9,"['', 'Great exposure to work directly with clients on a regular basis.', 'A stack full of pizza ;).', 'Understand and implement instructions and directions from others.', '']","['', 'Position Title: Virtual School PEP Quality Assurance Teacher and lead for Previously looked after.', 'Salary: Grade 8 £34,728 to £38,890 (Bar at £37,890) per annum…', '']","['', 'You will be working within the test team overseeing the testing of delivered solutions in an Agile working environment.', 'Job Types: Full-time, Permanent.', '']","['', 'Day to day leadership of the test team members.', 'Hands-on approach and able to Lead.', 'Consulting on shaping the future QA direction and strategy to improve test…', '']","['', 'Execute manual and automated test cases and analyse the results.', 'Write and maintain automated tests.', 'Work alongside the product and design teams to gain a good…', '']","['', 'You will be working on Automation testing, as part of the Agile Scrum Team.', 'Degree level education in an engineering / software / system related subject or…', '']","['', 'We take ownership for the full end-to-end solution from inception through to production and beyond.', 'Net* with various *relational databases* and follow a *micro…', '']","['', 'Codestone seeks a high-calibre individual to undertake QA and testing of its SAP Business One and Business ByDesign based solutions created for its customers.', '']","['', 'An Automation test engineer with a passion for testing and quality code.', 'Having experience with modern technology and creative solutions.', '']","['', 'As a QA release management lead you will have experience leading teams and have knowledge of release management principles.', 'NET background and familiar with .', '']","['', 'Excellent mentoring and support will be offered by a very experienced manager and you will also have an opportunity to work closely with global offices.', '']","['', 'Contracted Hours: Full time 37 hours per week.', 'Due to the nature of the role, some travel will be required within the East and Midlands Region.', '']","['', 'Excellent mentoring and support will be offered by a very experienced manager and you will also have an opportunity to work closely with global offices.', '']","['', 'Reporting to the Head of Delivery, your key purpose will be to ensure our build partners are delivering in line with the budget homes passed as well as…', '']","['', 'We are currently recruiting for an Automation Test Engineer who will be involved throughout the development lifecycle, with responsibility in the quality…', '']"
