,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,['newQA Test Engineer'],['newDefence Support WATERGUARD Assets Subject to Special Control...'],['newQA Engineer - Remote (Eastern Europe)'],['newQuality Assurance Software Tester (Websites/Games/Apps) QA'],['newRemote Software QA Manager (Eastern Europe)'],['newQuality Assurance Advisor'],['newSenior QA Engineer'],['newHEO Quality Hub Data Analyst'],['newCopy of QA Engineer'],['newSenior QA Lead'],['newQuality Management Specialist'],['newQuality Assurance Lead'],['newSenior Laboratory Technician'],"['newSoftware QA Engineer - C#, Selenium, Agile (REMOTE)']",['newJunior QA & Compliance Officer']
1,['newTest Manager'],['newQuality Engineer'],"['newQA Automation Engineer – C#, Webdriver, JMeter, Postman.']",['newQA Engineer - EMEA'],['newQA Test Automation Engineer - Python Java API'],['newQuality & Compliance Manager - Mental Health Hospitals'],['newQA specialist - specialising in GAMP5 (or similar)'],['newQuality Technician'],"['newQA Test Lead - Milton Keynes / Remote UK - £60,000 plus Pack...']","['newExternal Quality Assurer – Health, Childcare & Education - L...']",['newEngineering Inspector (Pressure Systems)'],['newQuality Assurance Champion - Test Manager - Permanent Role -...'],['newSystems Tester'],['newSystems Quality Assurance Analyst 4'],['newQuality Assurance Manager']
2,['newQA Automation specialist and systems designer - Development...'],['newSenior QA Auditor Good Laboratory Practice'],['newSystems Tester'],['newQA Test Automation Engineer Java - FinTech'],['newQA Analyst'],['newEngineering Inspector (Pressure Systems)'],['newSoftware Tester - Automation / Selenium - Derby'],['newSenior Quality Assurance Test Engineer'],['newLead QA (Fully Remote)'],['newQA Engineer - UK Only'],['newSupplier Quality Assurance Engineer'],['newDevelopment Quality Engineer'],['newMarket Quality Manager'],['newQuality Assurance Champion - Test Manager - Permanent Role -...'],['newOperations Quality Engineer']
3,['newOperations Quality Engineer'],['newSenior QA Test Automation Engineer (SDET)'],['newQA Test Automation Engineer - JavaScript Cypress'],"['newOperations, Quality Control & Fulfilment Coordinator']",['newGraduate Quality Specialist'],['newAutomation Test Engineer'],['newTEST ANALYST – £35-£40K – 2 DAYS WFH / 3 DAYS NEW FOREST'],['newSoftware Tester/QA - Web & Mobile Apps'],['newSoftware Tester - FinTech (up to 100% remote)'],['newExternal Quality Assurer'],['newQuality Assurance Tester'],['newQA Engineer - Selenium / Java - REMOTE'],['newQuality & Governance Coordinator'],['newApprenticeship Training Quality Manager'],['newQuality Services Coordinator']
4,['newSenior Automation QA'],['newJunior Software Development Engineer in Test - SDET'],['newUAT Test Manager'],['newAutomation Tester *REMOTE*'],['newManual QA Engineer - Mobile - Fintech'],['newSenior Software Quality Automation Engineer'],['newQA Engineer'],['newSoftware Quality Assurance Engineer'],['newLead Software Test Engineer- Medical Device'],['newLead QA Engineer - Circle Lead - Remote'],['newSenior QA Test Engineer - Full Stack Web'],['newSoftware Tester'],['QA Test Lead'],['newQuality and Compliance Administrator'],['Order Processing - QA Specialist (UK Remote)']
5,['Quality & Compliance Auditor'],['Compliance Monitoring Analyst QA'],['newQuality Specialist'],['Quality Management Associate - Remote - EUROPE or APAC'],['ERP QA Tester'],['newQA Test Engineer - Medical Devices'],['Graduate QA Engineer'],['Quality Assurance Associate'],['Quality and Insight Manager'],"['newAssociate Director, Quality Assurance (EU)']","['Mobile QA Engineer - Remote £70,000']",['newQA Automation Engineer'],['Quality Assurance Officer - South West Region - Home Based -...'],['QA Automation Engineer'],['newExternal Quality Assurer – Preparation for Life and Work inc...']
6,['Software Test Analyst (work from home)'],['Software Tester Selenium C# - WfH'],['newQA Automation Engineer'],['QA Automation Engineer'],['Medical Information QA Officer 6-month Contract'],['Quality Assurance Associate'],['Claims Quality Assurance Director'],['Quality and Insight Manager'],['QA Automation Engineer'],['ERP QA Tester REF: CSOL-ERPQA01'],['Solution Quality Assurance Lead'],['Quality Assurance Analyst (MMB Protection and Healthcare)'],"['newQA Engineer (JavaScript, Node.JS, React, Playwright)']",['Software Developer in Test'],['Quality Engineer']
7,['Solution Quality Assurance Lead'],['QA Engineer'],['Claims Quality Assurance Director'],['Senior QA Engineer (mobile)'],['Quality Assurance Analyst (MMB Protection and Healthcare)'],['newQA Automation Engineer'],['newAzure Automation QA Technical Lead'],['Software Developer in Test'],['Software Tester Selenium C# - WfH'],['QA Test Engineer / Tester - JavaScript'],['Quality Engineer / Clerk of Works - Highways'],['Software Tester C# Automation TDD'],['QA/DevOps Engineer'],['Tutor Quality Lead'],['Quality Engineer']
8,['Senior Automation Tester - Homebased'],['newSenior Automation Tester'],['newLead QA Test Automation Engineer C# .Net SQL'],['newSenior Development Quality Engineer'],['Senior Quality Engineer (II)'],"['QA ANALYST, TESTER – £250 PER DAY – 6 MONTHS CONTRACT – FULL...']",['Quality Manager – Learning Disabilities'],['Graduate QA Engineer'],"['Programme QA Manager - (Part-Time, Job-Share and Full-Time)']",['QA Tester (Match)'],['QA ANALYST / TESTER – £35K + BENEFITS – FULLY REMOTE'],['QA Manager'],['QA tester'],['Quality Systems Manager'],['QA Tester (Mobile)']
9,['Virtual School PEP Quality Assurance Teacher and lead for Pr...'],['QA Manager'],['Quality and Compliance Administrator'],['Test Analyst'],['AUTOMATION TESTER'],"['The best of 2 worlds, Part office-part home based, QA analys...']",['Manual QA Analyst'],['QA Manager'],['Software Tester'],['Agile Automation QA tester'],['Associate Internal Quality Advisor - Access to HE - Health P...'],"['The best of 2 worlds, Part office-part home based, QA analys...']",['Quality Manager'],['Quality Evaluation Analyst'],['Quality Assurance Engineer']
10,['Quality Assurance Engineer'],['Test Analyst'],['Quality Manager'],['QA Automation Tester'],['QA Automation Engineer - Fully Remote'],['QA Analyst'],['Senior Test Automation Engineer'],['QA TEST LEAD'],['Data Test Analyst'],['QA Lead'],['Quality Engineer'],['Data Tester'],"['Test Team Leader, Hands-on']",['QA Test Automaton Engineer Java Cypress - Remote'],['QA Automation Tester']
